gene	cog_category
Pk_ctg1_3560	K
Pk_ctg1_3561	K
Pk_ctg1_3562	J
Pk_ctg1_3563	J
Pk_ctg1_3564	J
Pk_ctg1_3565	J
Pk_ctg1_3566	J
Pk_ctg1_3567	J
Pk_ctg1_3568	No_COG
Pk_ctg1_3569	K
Pk_ctg1_3570	S
Pk_ctg1_3571	S
Pk_ctg1_3572	No_COG
Pk_ctg1_3573	G
Pk_ctg1_3574	G
Pk_ctg1_3575	H
Pk_ctg1_3576	K
Pk_ctg1_3577	G
Pk_ctg1_3578	G
Pk_ctg1_3579	G
Pk_ctg1_3580	No_COG
Pk_ctg1_3581	EJ
Pk_ctg1_3582	S
Pk_ctg1_3583	L
Pk_ctg1_3584	P
Pk_ctg1_3585	No_COG
Pk_ctg1_3586	J
Pk_ctg1_3587	S
Pk_ctg1_3588	S
Pk_ctg1_3589	No_COG
Pk_ctg1_3590	No_COG
Pk_ctg1_3591	No_COG
Pk_ctg1_3592	No_COG
Pk_ctg1_3593	S
Pk_ctg1_3594	O
Pk_ctg1_3595	H
Pk_ctg1_3596	No_COG
Pk_ctg1_3597	No_COG
Pk_ctg1_3598	No_COG
Pk_ctg1_3599	No_COG
Pk_ctg1_3600	E
Pk_ctg1_3601	O
Pk_ctg1_3602	C
Pk_ctg1_3603	C
Pk_ctg1_3604	C
Pk_ctg1_3605	IQ
Pk_ctg1_3606	E
Pk_ctg1_3607	F
Pk_ctg1_3608	S
Pk_ctg1_3609	S
Pk_ctg1_3610	H
Pk_ctg1_3611	I
Pk_ctg1_3612	E
Pk_ctg1_3613	J
Pk_ctg1_3614	NU
Pk_ctg1_3615	E
Pk_ctg1_3616	E
Pk_ctg1_3617	CE
Pk_ctg1_3618	Q
Pk_ctg1_3619	E
Pk_ctg1_3620	E
Pk_ctg1_3621	K
Pk_ctg1_3622	T
Pk_ctg1_3623	O
Pk_ctg1_3624	O
Pk_ctg1_3625	S
Pk_ctg1_3626	O
Pk_ctg1_3627	J
Pk_ctg1_3628	S
Pk_ctg1_3629	S
Pk_ctg1_3630	K
Pk_ctg1_3631	J
Pk_ctg1_3632	V
Pk_ctg1_3633	P
Pk_ctg1_3634	L
Pk_ctg1_3635	E
Pk_ctg1_3636	No_COG
Pk_ctg1_3637	No_COG
Pk_ctg1_3638	F
Pk_ctg1_3639	S
Pk_ctg1_3640	S
Pk_ctg1_3641	Q
Pk_ctg1_3642	L
Pk_ctg1_3643	J
Pk_ctg1_3644	MT
Pk_ctg1_3645	Q
Pk_ctg1_3646	S
Pk_ctg1_3647	K
Pk_ctg1_3648	S
Pk_ctg1_3649	T
Pk_ctg1_3650	K
Pk_ctg1_3651	No_COG
Pk_ctg1_3652	S
Pk_ctg1_3653	P
Pk_ctg1_3654	Q
Pk_ctg1_3655	K
Pk_ctg1_3656	M
Pk_ctg1_3657	V
Pk_ctg1_3658	M
Pk_ctg1_3659	S
Pk_ctg1_3660	E
Pk_ctg1_3661	M
Pk_ctg1_3662	S
Pk_ctg1_3663	PQ
Pk_ctg1_3664	P
Pk_ctg1_3665	I
Pk_ctg1_3666	Q
Pk_ctg1_3667	Q
Pk_ctg1_3668	Q
Pk_ctg1_3669	Q
Pk_ctg1_3670	I
Pk_ctg1_3671	EGP
Pk_ctg1_3672	IQ
Pk_ctg1_3673	G
Pk_ctg1_3674	No_COG
Pk_ctg1_3675	K
Pk_ctg1_3676	K
Pk_ctg1_3677	S
Pk_ctg1_3678	NT
Pk_ctg1_3679	No_COG
Pk_ctg1_3680	L
Pk_ctg1_3681	S
Pk_ctg1_3682	C
Pk_ctg1_3683	C
Pk_ctg1_3684	O
Pk_ctg1_3685	C
Pk_ctg1_3686	C
Pk_ctg1_3687	C
Pk_ctg1_3688	O
Pk_ctg1_3689	C
Pk_ctg1_3690	D
Pk_ctg1_3691	S
Pk_ctg1_3692	N
Pk_ctg1_3693	C
Pk_ctg1_3694	S
Pk_ctg1_3695	No_COG
Pk_ctg1_3696	P
Pk_ctg1_3697	P
Pk_ctg1_3698	S
Pk_ctg1_3699	H
Pk_ctg1_3700	No_COG
Pk_ctg1_3701	K
Pk_ctg1_3702	F
Pk_ctg1_3703	I
Pk_ctg1_3704	L
Pk_ctg1_3705	S
Pk_ctg1_3706	S
Pk_ctg1_3707	H
Pk_ctg1_3708	ET
Pk_ctg1_3709	S
Pk_ctg1_3710	L
Pk_ctg1_3711	D
Pk_ctg1_3712	D
Pk_ctg1_3713	K
Pk_ctg1_3714	F
Pk_ctg1_3715	C
Pk_ctg1_3716	O
Pk_ctg1_3717	F
Pk_ctg1_3718	K
Pk_ctg1_3719	Q
Pk_ctg1_3720	S
Pk_ctg1_3721	M
Pk_ctg1_3722	T
Pk_ctg1_3723	J
Pk_ctg1_3724	J
Pk_ctg1_3725	F
Pk_ctg1_3726	P
Pk_ctg1_3727	T
Pk_ctg1_3728	No_COG
Pk_ctg1_3729	P
Pk_ctg1_3730	KLT
Pk_ctg1_3731	C
Pk_ctg1_3732	P
Pk_ctg1_3733	C
Pk_ctg1_3734	H
Pk_ctg1_3735	M
Pk_ctg1_3736	K
Pk_ctg1_3737	M
Pk_ctg1_3738	No_COG
Pk_ctg1_3739	P
Pk_ctg1_3740	H
Pk_ctg1_3741	S
Pk_ctg1_3742	H
Pk_ctg1_3743	S
Pk_ctg1_3744	K
Pk_ctg1_3745	EG
Pk_ctg1_3746	S
Pk_ctg1_3747	S
Pk_ctg1_3748	C
Pk_ctg1_3749	C
Pk_ctg1_3750	G
Pk_ctg1_3751	K
Pk_ctg1_3752	O
Pk_ctg1_3753	E
Pk_ctg1_3754	HJ
Pk_ctg1_3755	EH
Pk_ctg1_3756	E
Pk_ctg1_3757	EH
Pk_ctg1_3758	FH
Pk_ctg1_3759	E
Pk_ctg1_3760	K
Pk_ctg1_3761	IQ
Pk_ctg1_3762	S
Pk_ctg1_3763	M
Pk_ctg1_3764	No_COG
Pk_ctg1_3765	No_COG
Pk_ctg1_3766	No_COG
Pk_ctg1_3767	No_COG
Pk_ctg1_3768	No_COG
Pk_ctg1_3769	S
Pk_ctg1_3770	S
Pk_ctg1_3771	No_COG
Pk_ctg1_3772	No_COG
Pk_ctg1_3773	S
Pk_ctg1_3774	S
Pk_ctg1_3775	S
Pk_ctg1_3776	L
Pk_ctg1_3777	No_COG
Pk_ctg1_3778	I
Pk_ctg1_3779	I
Pk_ctg1_3780	P
Pk_ctg1_3781	F
Pk_ctg1_3782	I
Pk_ctg1_3783	I
Pk_ctg1_3784	No_COG
Pk_ctg1_3785	C
Pk_ctg1_3786	E
Pk_ctg1_3787	S
Pk_ctg1_3788	S
Pk_ctg1_3789	S
Pk_ctg1_3790	No_COG
Pk_ctg1_3791	E
Pk_ctg1_3792	S
Pk_ctg1_3793	No_COG
Pk_ctg1_3794	S
Pk_ctg1_3795	IQ
Pk_ctg1_3796	S
Pk_ctg1_3797	E
Pk_ctg1_3798	S
Pk_ctg1_3799	E
Pk_ctg1_3800	EGP
Pk_ctg1_3801	E
Pk_ctg1_3802	S
Pk_ctg1_3803	No_COG
Pk_ctg1_3804	J
Pk_ctg1_3805	Q
Pk_ctg1_3806	No_COG
Pk_ctg1_3807	S
Pk_ctg1_3808	No_COG
Pk_ctg1_3809	H
Pk_ctg1_3810	O
Pk_ctg1_3811	EK
Pk_ctg1_3812	K
Pk_ctg1_3813	S
Pk_ctg1_3814	E
Pk_ctg1_3815	Q
Pk_ctg1_3816	No_COG
Pk_ctg1_3817	No_COG
Pk_ctg1_3818	No_COG
Pk_ctg1_3819	No_COG
Pk_ctg1_3820	S
Pk_ctg1_3821	G
Pk_ctg1_3822	S
Pk_ctg1_3823	F
Pk_ctg1_3824	F
Pk_ctg1_3825	S
Pk_ctg1_3826	F
Pk_ctg1_3827	M
Pk_ctg1_3828	M
Pk_ctg1_3829	S
Pk_ctg1_3830	M
Pk_ctg1_3831	D
Pk_ctg1_3832	D
Pk_ctg1_3833	D
Pk_ctg1_3834	J
Pk_ctg1_3835	E
Pk_ctg1_3836	No_COG
Pk_ctg1_3837	M
Pk_ctg1_3838	S
Pk_ctg1_3839	No_COG
Pk_ctg1_3840	K
Pk_ctg1_3841	P
Pk_ctg1_3842	S
Pk_ctg1_3843	P
Pk_ctg1_3844	P
Pk_ctg1_3845	P
Pk_ctg1_3846	E
Pk_ctg1_3847	C
Pk_ctg1_3848	M
Pk_ctg1_3849	T
Pk_ctg1_3850	No_COG
Pk_ctg1_3851	M
Pk_ctg1_3852	S
Pk_ctg1_3853	No_COG
Pk_ctg1_3854	K
Pk_ctg1_3855	S
Pk_ctg1_3856	O
Pk_ctg1_3857	C
Pk_ctg1_3858	P
Pk_ctg1_3859	S
Pk_ctg1_3860	L
Pk_ctg1_3861	S
Pk_ctg1_3862	U
Pk_ctg1_3863	I
Pk_ctg1_3864	P
Pk_ctg1_3865	G
Pk_ctg1_3866	EGP
Pk_ctg1_3867	K
Pk_ctg1_3868	T
Pk_ctg1_3869	V
Pk_ctg1_3870	S
Pk_ctg1_3871	No_COG
Pk_ctg1_3872	No_COG
Pk_ctg1_3873	I
Pk_ctg1_3874	O
Pk_ctg1_3875	No_COG
Pk_ctg1_3876	EGP
Pk_ctg1_3877	K
Pk_ctg1_3878	H
Pk_ctg1_3879	G
Pk_ctg1_3880	F
Pk_ctg1_3881	H
Pk_ctg1_3882	H
Pk_ctg1_3883	E
Pk_ctg1_3884	H
Pk_ctg1_3885	C
Pk_ctg1_3886	H
Pk_ctg1_3887	H
Pk_ctg1_3888	No_COG
Pk_ctg1_3889	G
Pk_ctg1_3890	M
Pk_ctg1_3891	M
Pk_ctg1_3892	L
Pk_ctg1_3893	S
Pk_ctg1_3894	S
Pk_ctg1_3895	F
Pk_ctg1_3896	F
Pk_ctg1_3897	S
Pk_ctg1_3898	No_COG
Pk_ctg1_3899	NT
Pk_ctg1_3900	S
Pk_ctg1_3901	O
Pk_ctg1_3902	S
Pk_ctg1_3903	Q
Pk_ctg1_3904	O
Pk_ctg1_3905	Q
Pk_ctg1_3906	Q
Pk_ctg1_3907	No_COG
Pk_ctg1_3908	S
Pk_ctg1_3909	S
Pk_ctg1_3910	U
Pk_ctg1_3911	C
Pk_ctg1_3912	F
Pk_ctg1_3913	C
Pk_ctg1_3914	C
Pk_ctg1_3915	C
Pk_ctg1_3916	C
Pk_ctg1_3917	C
Pk_ctg1_3918	C
Pk_ctg1_3919	C
Pk_ctg1_3920	C
Pk_ctg1_3921	S
Pk_ctg1_3922	S
Pk_ctg1_3923	E
Pk_ctg1_3924	G
Pk_ctg1_3925	No_COG
Pk_ctg1_3926	M
Pk_ctg1_3927	M
Pk_ctg1_3928	No_COG
Pk_ctg1_3929	S
Pk_ctg1_3930	K
Pk_ctg1_3931	L
Pk_ctg1_3932	S
Pk_ctg1_3933	S
Pk_ctg1_3934	G
Pk_ctg1_3935	I
Pk_ctg1_3936	G
Pk_ctg1_3937	G
Pk_ctg1_3938	E
Pk_ctg1_3939	J
Pk_ctg1_3940	P
Pk_ctg1_3941	No_COG
Pk_ctg1_3942	EGP
Pk_ctg1_3943	S
Pk_ctg1_3944	N
Pk_ctg1_3945	K
Pk_ctg1_3946	S
Pk_ctg1_3947	No_COG
Pk_ctg1_3948	O
Pk_ctg1_3949	P
Pk_ctg1_3950	CO
Pk_ctg1_3951	O
Pk_ctg1_3952	O
Pk_ctg1_3953	U
Pk_ctg1_3954	U
Pk_ctg1_3955	U
Pk_ctg1_3956	O
Pk_ctg1_3957	N
Pk_ctg1_3958	S
Pk_ctg1_3959	S
Pk_ctg1_3960	NT
Pk_ctg1_3961	NT
Pk_ctg1_3962	D
Pk_ctg1_3963	N
Pk_ctg1_3964	N
Pk_ctg1_3965	NT
Pk_ctg1_3966	T
Pk_ctg1_3967	NT
Pk_ctg1_3968	KT
Pk_ctg1_3969	K
Pk_ctg1_3970	D
Pk_ctg1_3971	N
Pk_ctg1_3972	N
Pk_ctg1_3973	No_COG
Pk_ctg1_3974	N
Pk_ctg1_3975	NQ
Pk_ctg1_3976	No_COG
Pk_ctg1_3977	N
Pk_ctg1_3978	No_COG
Pk_ctg1_3979	No_COG
Pk_ctg1_3980	N
Pk_ctg1_3981	N
Pk_ctg1_3982	N
Pk_ctg1_3983	N
Pk_ctg1_3984	N
Pk_ctg1_3985	N
Pk_ctg1_3986	N
Pk_ctg1_3987	N
Pk_ctg1_3988	N
Pk_ctg1_3989	T
Pk_ctg1_3990	T
Pk_ctg1_3991	T
Pk_ctg1_3992	No_COG
Pk_ctg1_3993	N
Pk_ctg1_3994	NU
Pk_ctg1_3995	N
Pk_ctg1_3996	N
Pk_ctg1_3997	N
Pk_ctg1_3998	N
Pk_ctg1_3999	T
Pk_ctg1_4000	T
Pk_ctg1_4001	T
Pk_ctg1_4002	N
Pk_ctg1_4003	N
Pk_ctg1_4004	N
Pk_ctg1_4005	N
Pk_ctg1_4006	N
Pk_ctg1_4007	No_COG
Pk_ctg1_4008	S
Pk_ctg1_4009	I
Pk_ctg1_4010	M
Pk_ctg1_4011	M
Pk_ctg1_4012	M
Pk_ctg1_4013	S
Pk_ctg1_4014	E
Pk_ctg1_4015	GM
Pk_ctg1_4016	S
Pk_ctg1_4017	V
Pk_ctg1_4018	E
Pk_ctg1_4019	M
Pk_ctg1_4020	H
Pk_ctg1_4021	M
Pk_ctg1_4022	M
Pk_ctg1_4023	M
Pk_ctg1_4024	G
Pk_ctg1_4025	N
Pk_ctg1_4026	N
Pk_ctg1_4027	N
Pk_ctg1_4028	N
Pk_ctg1_4029	N
Pk_ctg1_4030	N
Pk_ctg1_4031	N
Pk_ctg1_4032	K
Pk_ctg1_4033	E
Pk_ctg1_4034	H
Pk_ctg1_4035	E
Pk_ctg1_4036	No_COG
Pk_ctg1_4037	No_COG
Pk_ctg1_4038	U
Pk_ctg1_4039	J
Pk_ctg1_4040	S
Pk_ctg1_4041	M
Pk_ctg1_4042	No_COG
Pk_ctg1_4043	No_COG
Pk_ctg1_4044	No_COG
Pk_ctg1_4045	S
Pk_ctg1_4046	F
Pk_ctg1_4047	U
Pk_ctg1_4048	K
Pk_ctg1_4049	E
Pk_ctg1_4050	E
Pk_ctg1_4051	No_COG
Pk_ctg1_4052	E
Pk_ctg1_4053	J
Pk_ctg1_4054	S
Pk_ctg1_4055	D
Pk_ctg1_4056	D
Pk_ctg1_4057	J
Pk_ctg1_4058	S
Pk_ctg1_4059	D
Pk_ctg1_4060	T
Pk_ctg1_4061	M
Pk_ctg1_4062	K
Pk_ctg1_4063	NPTU
Pk_ctg1_4064	T
Pk_ctg1_4065	C
Pk_ctg1_4066	P
Pk_ctg1_4067	K
Pk_ctg1_4068	S
Pk_ctg1_4069	S
Pk_ctg1_4070	S
Pk_ctg1_4071	K
Pk_ctg1_4072	EG
Pk_ctg1_4073	O
Pk_ctg1_4074	K
Pk_ctg1_4075	NU
Pk_ctg1_4076	K
Pk_ctg1_4077	L
Pk_ctg1_4078	S
Pk_ctg1_4079	S
Pk_ctg1_4080	No_COG
Pk_ctg1_4081	N
Pk_ctg1_4082	MU
Pk_ctg1_4083	No_COG
Pk_ctg1_4084	No_COG
Pk_ctg1_4085	Q
Pk_ctg1_4086	MU
Pk_ctg1_4087	V
Pk_ctg1_4088	M
Pk_ctg1_4089	S
Pk_ctg1_4090	K
Pk_ctg1_4091	E
Pk_ctg1_4092	No_COG
Pk_ctg1_4093	U
Pk_ctg1_4094	E
Pk_ctg1_4095	S
Pk_ctg1_4096	No_COG
Pk_ctg1_4097	No_COG
Pk_ctg1_4098	K
Pk_ctg1_4099	EGP
Pk_ctg1_4100	EG
Pk_ctg1_4101	S
Pk_ctg1_4102	J
Pk_ctg1_4103	No_COG
Pk_ctg1_4104	S
Pk_ctg1_4105	No_COG
Pk_ctg1_4106	No_COG
Pk_ctg1_4107	S
Pk_ctg1_4108	No_COG
Pk_ctg1_4109	S
Pk_ctg1_4110	No_COG
Pk_ctg1_4111	JKL
Pk_ctg1_4112	M
Pk_ctg1_4113	EG
Pk_ctg1_4114	I
Pk_ctg1_4115	No_COG
Pk_ctg1_4116	K
Pk_ctg1_4117	S
Pk_ctg1_4118	M
Pk_ctg1_4119	V
Pk_ctg1_4120	G
Pk_ctg1_4121	S
Pk_ctg1_4122	K
Pk_ctg1_4123	S
Pk_ctg1_4124	K
Pk_ctg1_4125	I
Pk_ctg1_4126	L
Pk_ctg1_4127	F
Pk_ctg1_4128	NT
Pk_ctg1_4129	EG
Pk_ctg1_4130	EG
Pk_ctg1_4131	O
Pk_ctg1_4132	E
Pk_ctg1_4133	M
Pk_ctg1_4134	S
Pk_ctg1_4135	S
Pk_ctg1_4136	S
Pk_ctg1_4137	No_COG
Pk_ctg1_4138	E
Pk_ctg1_4139	E
Pk_ctg1_4140	E
Pk_ctg1_4141	EGP
Pk_ctg1_4142	K
Pk_ctg1_4143	S
Pk_ctg1_4144	S
Pk_ctg1_4145	S
Pk_ctg1_4146	E
Pk_ctg1_4147	T
Pk_ctg1_4148	No_COG
Pk_ctg1_4149	J
Pk_ctg1_4150	L
Pk_ctg1_4151	J
Pk_ctg1_4152	S
Pk_ctg1_4153	S
Pk_ctg1_4154	S
Pk_ctg1_4155	C
Pk_ctg1_4156	EH
Pk_ctg1_4157	S
Pk_ctg1_4158	J
Pk_ctg1_4159	S
Pk_ctg1_4160	P
Pk_ctg1_4161	K
Pk_ctg1_4162	E
Pk_ctg1_4163	K
Pk_ctg1_4164	S
Pk_ctg1_4165	S
Pk_ctg1_4166	H
Pk_ctg1_4167	M
Pk_ctg1_4168	S
Pk_ctg1_4169	G
Pk_ctg1_4170	S
Pk_ctg1_4171	No_COG
Pk_ctg1_4172	S
Pk_ctg1_4173	F
Pk_ctg1_4174	S
Pk_ctg1_4175	M
Pk_ctg1_4176	E
Pk_ctg1_4177	E
Pk_ctg1_4178	O
Pk_ctg1_4179	S
Pk_ctg1_4180	O
Pk_ctg1_4181	S
Pk_ctg1_4182	M
Pk_ctg1_4183	No_COG
Pk_ctg1_4184	T
Pk_ctg1_4185	T
Pk_ctg1_4186	K
Pk_ctg1_4187	H
Pk_ctg1_4188	S
Pk_ctg1_4189	S
Pk_ctg1_4190	T
Pk_ctg1_4191	T
Pk_ctg1_4192	K
Pk_ctg1_4193	S
Pk_ctg1_4194	S
Pk_ctg1_4195	S
Pk_ctg1_4196	S
Pk_ctg1_4197	S
Pk_ctg1_4198	L
Pk_ctg1_4199	I
Pk_ctg1_4200	Q
Pk_ctg1_4201	No_COG
Pk_ctg1_4202	M
Pk_ctg1_4203	No_COG
Pk_ctg1_4204	No_COG
Pk_ctg1_4205	P
Pk_ctg1_4206	P
Pk_ctg1_4207	P
Pk_ctg1_4208	S
Pk_ctg1_4209	S
Pk_ctg1_4210	EI
Pk_ctg1_4211	J
Pk_ctg1_4212	T
Pk_ctg1_4213	S
Pk_ctg1_4214	J
Pk_ctg1_4215	I
Pk_ctg1_4216	S
Pk_ctg1_4217	No_COG
Pk_ctg1_4218	S
Pk_ctg1_4219	No_COG
Pk_ctg1_4220	No_COG
Pk_ctg1_4221	Q
Pk_ctg1_4222	No_COG
Pk_ctg1_4223	S
Pk_ctg1_4224	S
Pk_ctg1_4225	S
Pk_ctg1_4226	S
Pk_ctg1_4227	No_COG
Pk_ctg1_4228	T
Pk_ctg1_4229	E
Pk_ctg1_4230	E
Pk_ctg1_4231	No_COG
Pk_ctg1_4232	No_COG
Pk_ctg1_4233	G
Pk_ctg1_4234	E
Pk_ctg1_4235	C
Pk_ctg1_4236	K
Pk_ctg1_4237	G
Pk_ctg1_4238	U
Pk_ctg1_4239	C
Pk_ctg1_4240	S
Pk_ctg1_4241	K
Pk_ctg1_4242	G
Pk_ctg1_4243	EM
Pk_ctg1_4244	S
Pk_ctg1_4245	S
Pk_ctg1_4246	S
Pk_ctg1_4247	EG
Pk_ctg1_4248	J
Pk_ctg1_4249	S
Pk_ctg1_4250	S
Pk_ctg1_4251	S
Pk_ctg1_4252	G
Pk_ctg1_4253	I
Pk_ctg1_4254	S
Pk_ctg1_4255	No_COG
Pk_ctg1_4256	V
Pk_ctg1_4257	I
Pk_ctg1_4258	I
Pk_ctg1_4259	I
Pk_ctg1_4260	S
Pk_ctg1_4261	K
Pk_ctg1_4262	EGP
Pk_ctg1_4263	C
Pk_ctg1_4264	K
Pk_ctg1_4265	M
Pk_ctg1_4266	U
Pk_ctg1_4267	M
Pk_ctg1_4268	S
Pk_ctg1_4269	S
Pk_ctg1_4270	S
Pk_ctg1_4271	I
Pk_ctg1_4272	G
Pk_ctg1_4273	EGP
Pk_ctg1_4274	Q
Pk_ctg1_4275	Q
Pk_ctg1_4276	I
Pk_ctg1_4277	I
Pk_ctg1_4278	I
Pk_ctg1_4279	EGP
Pk_ctg1_4280	K
Pk_ctg1_4281	No_COG
Pk_ctg1_4282	No_COG
Pk_ctg1_4283	P
Pk_ctg1_4284	No_COG
Pk_ctg1_4285	L
Pk_ctg1_4286	S
Pk_ctg1_4287	No_COG
Pk_ctg1_4288	S
Pk_ctg1_4289	K
Pk_ctg1_4290	EGP
Pk_ctg1_4291	S
Pk_ctg1_4292	T
Pk_ctg1_4293	I
Pk_ctg1_4294	No_COG
Pk_ctg1_4295	S
Pk_ctg1_4296	E
Pk_ctg1_4297	E
Pk_ctg1_4298	E
Pk_ctg1_4299	E
Pk_ctg1_4300	P
Pk_ctg1_4301	No_COG
Pk_ctg1_4302	S
Pk_ctg1_4303	S
Pk_ctg1_4304	S
Pk_ctg1_4305	S
Pk_ctg1_4306	K
Pk_ctg1_4307	IQ
Pk_ctg1_4308	S
Pk_ctg1_4309	S
Pk_ctg1_4310	E
Pk_ctg1_4311	P
Pk_ctg1_4312	S
Pk_ctg1_4313	S
Pk_ctg1_4314	S
Pk_ctg1_4315	M
Pk_ctg1_4316	S
Pk_ctg1_4317	H
Pk_ctg1_4318	M
Pk_ctg1_4319	V
Pk_ctg1_4320	G
Pk_ctg1_4321	KL
Pk_ctg1_4322	S
Pk_ctg1_4323	No_COG
Pk_ctg1_4324	S
Pk_ctg1_4325	M
Pk_ctg1_4326	M
Pk_ctg1_4327	No_COG
Pk_ctg1_4328	S
Pk_ctg1_4329	S
Pk_ctg1_4330	S
Pk_ctg1_4331	Q
Pk_ctg1_4332	O
Pk_ctg1_4333	S
Pk_ctg1_4334	J
Pk_ctg1_4335	L
Pk_ctg1_4336	ET
Pk_ctg1_4337	P
Pk_ctg1_4338	E
Pk_ctg1_4339	S
Pk_ctg1_4340	E
Pk_ctg1_4341	L
Pk_ctg1_4342	S
Pk_ctg1_4343	No_COG
Pk_ctg1_4344	F
Pk_ctg1_4345	K
Pk_ctg1_4346	M
Pk_ctg1_4347	L
Pk_ctg1_4348	G
Pk_ctg1_4349	J
Pk_ctg1_4350	No_COG
Pk_ctg1_4351	L
Pk_ctg1_4352	S
Pk_ctg1_4353	U
Pk_ctg1_4354	S
Pk_ctg1_4355	P
Pk_ctg1_4356	J
Pk_ctg1_4357	No_COG
Pk_ctg1_4358	K
Pk_ctg1_4359	J
Pk_ctg1_4360	S
Pk_ctg1_4361	IQ
Pk_ctg1_4362	P
Pk_ctg1_4363	C
Pk_ctg1_4364	K
Pk_ctg1_4365	M
Pk_ctg1_4366	K
Pk_ctg1_4367	S
Pk_ctg1_4368	S
Pk_ctg1_4369	No_COG
Pk_ctg1_4370	S
Pk_ctg1_4371	S
Pk_ctg1_4372	L
Pk_ctg1_4373	S
Pk_ctg1_4374	S
Pk_ctg1_4375	S
Pk_ctg1_4376	No_COG
Pk_ctg1_4377	G
Pk_ctg1_4378	S
Pk_ctg1_4379	S
Pk_ctg1_4380	S
Pk_ctg1_4381	No_COG
Pk_ctg1_4382	S
Pk_ctg1_4383	No_COG
Pk_ctg1_4384	No_COG
Pk_ctg1_4385	No_COG
Pk_ctg1_4386	S
Pk_ctg1_4387	S
Pk_ctg1_4388	S
Pk_ctg1_4389	S
Pk_ctg1_4390	S
Pk_ctg1_4391	S
Pk_ctg1_4392	S
Pk_ctg1_4393	S
Pk_ctg1_4394	S
Pk_ctg1_4395	N
Pk_ctg1_4396	S
Pk_ctg1_4397	No_COG
Pk_ctg1_4398	S
Pk_ctg1_4399	S
Pk_ctg1_4400	S
Pk_ctg1_4401	No_COG
Pk_ctg1_4402	No_COG
Pk_ctg1_4403	S
Pk_ctg1_4404	S
Pk_ctg1_4405	No_COG
Pk_ctg1_4406	V
Pk_ctg1_4407	S
Pk_ctg1_4408	M
Pk_ctg1_4409	T
Pk_ctg1_4410	S
Pk_ctg1_4411	S
Pk_ctg1_4412	L
Pk_ctg1_4413	No_COG
Pk_ctg1_4414	S
Pk_ctg1_4415	No_COG
Pk_ctg1_4416	K
Pk_ctg1_4417	No_COG
Pk_ctg1_4418	No_COG
Pk_ctg1_4419	No_COG
Pk_ctg1_4420	K
Pk_ctg1_4421	L
Pk_ctg1_4422	C
Pk_ctg1_4423	K
Pk_ctg1_4424	D
Pk_ctg1_4425	J
Pk_ctg1_4426	S
Pk_ctg1_4427	J
Pk_ctg1_4428	I
Pk_ctg1_4429	S
Pk_ctg1_4430	C
Pk_ctg1_4431	K
Pk_ctg1_4432	I
Pk_ctg1_4433	D
Pk_ctg1_4434	G
Pk_ctg1_4435	M
Pk_ctg1_4436	F
Pk_ctg1_4437	D
Pk_ctg1_4438	I
Pk_ctg1_4439	L
Pk_ctg1_4440	L
Pk_ctg1_4441	I
Pk_ctg1_4442	I
Pk_ctg1_4443	I
Pk_ctg1_4444	M
Pk_ctg1_4445	M
Pk_ctg1_4446	M
Pk_ctg1_4447	M
Pk_ctg1_4448	I
Pk_ctg1_4449	I
Pk_ctg1_4450	H
Pk_ctg1_4451	J
Pk_ctg1_4452	F
Pk_ctg1_4453	J
Pk_ctg1_4454	J
Pk_ctg1_4455	E
Pk_ctg1_4456	O
Pk_ctg1_4457	E
Pk_ctg1_4458	O
Pk_ctg1_4459	OQ
Pk_ctg1_4460	No_COG
Pk_ctg1_4461	M
Pk_ctg1_4462	V
Pk_ctg1_4463	MU
Pk_ctg1_4464	P
Pk_ctg1_4465	H
Pk_ctg1_4466	E
Pk_ctg1_4467	S
Pk_ctg1_4468	H
Pk_ctg1_4469	M
Pk_ctg1_4470	E
Pk_ctg1_4471	Q
Pk_ctg1_4472	No_COG
Pk_ctg1_4473	K
Pk_ctg1_4474	I
Pk_ctg1_4475	S
Pk_ctg1_4476	S
Pk_ctg1_4477	K
Pk_ctg1_4478	V
Pk_ctg1_4479	M
Pk_ctg1_4480	K
Pk_ctg1_4481	J
Pk_ctg1_4482	No_COG
Pk_ctg1_4483	S
Pk_ctg1_4484	G
Pk_ctg1_4485	S
Pk_ctg1_4486	No_COG
Pk_ctg1_4487	O
Pk_ctg1_4488	F
Pk_ctg1_4489	H
Pk_ctg1_4490	S
Pk_ctg1_4491	S
Pk_ctg1_4492	M
Pk_ctg1_4493	No_COG
Pk_ctg1_4494	S
Pk_ctg1_4495	S
Pk_ctg1_4496	No_COG
Pk_ctg1_4497	K
Pk_ctg1_4498	J
Pk_ctg1_4499	J
Pk_ctg1_4500	T
Pk_ctg1_4501	NT
Pk_ctg1_4502	T
Pk_ctg1_4503	NT
Pk_ctg1_4504	NT
Pk_ctg1_4505	NT
Pk_ctg1_4506	NT
Pk_ctg1_4507	S
Pk_ctg1_4508	K
Pk_ctg1_4509	C
Pk_ctg1_4510	E
Pk_ctg1_4511	P
Pk_ctg1_4512	P
Pk_ctg1_4513	P
Pk_ctg1_4514	C
Pk_ctg1_4515	E
Pk_ctg1_4516	S
Pk_ctg1_4517	K
Pk_ctg1_4518	K
Pk_ctg1_4519	No_COG
Pk_ctg1_4520	No_COG
Pk_ctg1_4521	P
Pk_ctg1_4522	C
Pk_ctg1_4523	L
